"","code_village","code_engin","code_pecheur","start_op","end_op","fishing"
"230","KPN","YO","0008",2019-08-05 08:21:36,2019-08-05 09:36:36,"active"
"231","KPN","YO","0008",2019-08-05 10:05:36,2019-08-05 12:17:36,"active"
"232","KPN","YO","0008",2019-08-05 12:26:36,2019-08-05 14:49:36,"active"
"233","KPN","YO","0008",2019-08-05 14:56:36,2019-08-05 16:26:36,"active"
"234","KPN","YO","0008",2019-08-05 16:31:36,2019-08-05 17:23:36,"active"
"235","KPN","YO","0008",2019-08-05 17:27:36,2019-08-05 22:04:36,"active"
"236","KPN","YO","0008",2019-08-06 07:59:23,2019-08-06 08:16:23,"active"
"237","KPN","YO","0008",2019-08-06 09:46:23,2019-08-06 10:12:23,"active"
"238","KPN","YO","0008",2019-08-06 17:08:14,2019-08-06 17:25:14,"active"
"239","KPN","YO","0008",2019-08-06 18:15:14,2019-08-06 18:44:14,"active"
"240","KPN","YO","0008",2019-08-07 08:37:18,2019-08-07 09:29:18,"active"
"241","KPN","YO","0008",2019-08-07 09:34:18,2019-08-07 09:40:18,"active"
"242","KPN","YO","0008",2019-08-07 10:04:18,2019-08-07 13:57:18,"active"
"243","KPN","YO","0008",2019-08-07 14:02:18,2019-08-07 16:14:18,"active"
"244","KPN","YO","0008",2019-08-07 16:25:18,2019-08-07 17:46:18,"active"
"245","KPN","YO","0008",2019-08-07 17:50:18,2019-08-07 18:32:18,"active"
"246","KPN","YO","0008",2019-08-07 18:36:18,2019-08-07 20:19:18,"active"
"247","KPN","YO","0008",2019-08-07 20:59:18,2019-08-07 21:27:18,"active"
"248","KPN","YO","0008",2019-08-08 08:11:34,2019-08-08 08:46:34,"active"
"249","KPN","YO","0008",2019-08-08 09:34:34,2019-08-08 11:20:34,"active"
"250","KPN","YO","0008",2019-08-08 11:28:34,2019-08-08 15:08:34,"active"
"251","KPN","YO","0008",2019-08-08 15:14:34,2019-08-08 17:59:34,"active"
"252","KPN","YO","0008",2019-10-17 19:05:04,2019-10-17 20:10:04,"active"
"253","KPN","YO","0008",2019-10-18 07:31:27,2019-10-18 08:48:27,"active"
"254","KPN","YO","0008",2019-10-18 09:00:27,2019-10-18 10:44:27,"active"
"255","KPN","YO","0008",2019-10-18 11:03:27,2019-10-18 12:00:27,"active"
"256","KPN","YO","0008",2019-10-18 12:30:27,2019-10-18 13:58:27,"active"
"257","KPN","YO","0008",2019-10-18 14:01:27,2019-10-18 17:02:27,"active"
"258","KPN","YO","0008",2019-10-18 17:25:27,2019-10-18 18:10:27,"active"
"259","KPN","YO","0008",2019-10-18 18:32:27,2019-10-18 19:09:27,"active"
"260","KPN","YO","0008",2019-10-18 19:37:27,2019-10-18 20:04:27,"active"
"261","KPN","YO","0008",2019-10-19 07:47:30,2019-10-19 08:50:30,"active"
"262","KPN","YO","0008",2019-10-19 09:07:30,2019-10-19 10:06:30,"active"
"263","KPN","YO","0008",2019-10-19 10:25:30,2019-10-19 11:30:30,"active"
"264","KPN","YO","0008",2019-10-19 11:54:30,2019-10-19 12:43:30,"active"
"265","KPN","YO","0008",2019-10-19 12:51:30,2019-10-19 13:27:30,"active"
"266","KPN","YO","0008",2019-10-19 13:43:30,2019-10-19 13:56:30,"active"
"267","KPN","YO","0008",2019-10-19 17:32:30,2019-10-19 17:45:30,"active"
"268","KPN","YO","0008",2019-10-19 18:31:30,2019-10-19 21:08:30,"active"
"269","KPN","YO","0008",2019-10-20 08:12:12,2019-10-20 08:23:12,"active"
"270","KPN","YO","0008",2019-10-20 08:25:12,2019-10-20 10:26:12,"active"
"271","KPN","YO","0008",2019-10-20 10:30:12,2019-10-20 11:29:12,"active"
"272","KPN","YO","0008",2019-10-20 11:40:12,2019-10-20 12:13:12,"active"
"273","KPN","YO","0008",2019-10-20 12:15:12,2019-10-20 13:07:12,"active"
"274","KPN","YO","0008",2019-10-20 13:14:12,2019-10-20 14:07:12,"active"
"275","KPN","YO","0008",2019-10-20 14:10:12,2019-10-20 17:51:12,"active"
"276","KPN","YO","0008",2019-10-20 18:44:12,2019-10-20 21:23:12,"active"
"277","KPN","YO","0008",2019-10-21 07:32:39,2019-10-21 07:50:39,"active"
"278","KPN","YO","0008",2019-10-21 07:53:39,2019-10-21 10:23:39,"active"
"279","KPN","YO","0008",2019-10-21 10:26:39,2019-10-21 11:30:39,"active"
"280","KPN","YO","0008",2019-10-21 11:33:39,2019-10-21 12:05:39,"active"
"281","KPN","YO","0008",2019-10-21 12:13:39,2019-10-21 17:07:39,"active"
"282","KPN","YO","0008",2019-10-21 18:30:39,2019-10-21 22:01:39,"active"
"283","KPN","YO","0008",2019-10-22 07:32:39,2019-10-22 09:06:39,"active"
"284","KPN","YO","0008",2019-10-22 09:09:39,2019-10-22 10:38:39,"active"
"285","KPN","YO","0008",2019-10-22 10:41:39,2019-10-22 11:36:39,"active"
"286","KPN","YO","0008",2019-10-22 11:39:39,2019-10-22 11:49:39,"active"
"287","KPN","YO","0008",2019-10-22 11:56:39,2019-10-22 12:42:39,"active"
"288","KPN","YO","0008",2019-10-22 12:49:39,2019-10-22 13:35:39,"active"
"289","KPN","YO","0008",2019-10-22 13:47:39,2019-10-22 14:42:39,"active"
"290","KPN","YO","0008",2019-10-22 14:50:39,2019-10-22 15:33:39,"active"
"291","KPN","YO","0008",2019-10-22 15:53:39,2019-10-22 17:10:39,"active"
"292","KPN","YO","0008",2019-10-22 18:28:39,2019-10-22 19:33:39,"active"
"293","KPN","YO","0008",2019-10-23 08:27:27,2019-10-23 08:36:27,"active"
"294","KPN","YO","0008",2019-10-23 08:48:27,2019-10-23 10:08:27,"active"
"295","KPN","YO","0008",2019-10-23 10:29:27,2019-10-23 10:32:27,"active"
"296","KPN","YO","0008",2019-10-23 10:37:27,2019-10-23 11:43:27,"active"
"297","KPN","YO","0008",2019-10-23 11:47:27,2019-10-23 12:51:27,"active"
"298","KPN","YO","0008",2019-10-23 12:56:27,2019-10-23 14:16:27,"active"
"299","KPN","YO","0008",2019-10-23 14:18:27,2019-10-23 15:01:27,"active"
"300","KPN","YO","0008",2019-10-23 16:48:27,2019-10-23 17:32:27,"active"
"301","KPN","YO","0008",2019-10-23 18:24:27,2019-10-23 21:59:27,"active"
"302","KPN","YO","0008",2019-10-24 08:18:06,2019-10-24 09:44:06,"active"
"303","KPN","YO","0008",2019-10-24 09:47:06,2019-10-24 11:30:06,"active"
"304","KPN","YO","0008",2019-10-24 11:33:06,2019-10-24 12:47:06,"active"
"305","KPN","YO","0008",2019-10-24 12:50:06,2019-10-24 14:05:06,"active"
"306","KPN","YO","0008",2019-10-24 14:45:06,2019-10-24 16:44:06,"active"
"307","KPN","YO","0008",2019-10-24 16:52:06,2019-10-24 17:21:06,"active"
"308","KPN","YO","0008",2019-10-24 18:32:06,2019-10-24 19:32:06,"active"
"309","KPN","YO","0008",2019-10-25 06:59:26,2019-10-25 08:44:26,"active"
"310","KPN","YO","0008",2019-10-25 08:56:26,2019-10-25 10:15:26,"active"
"311","KPN","YO","0008",2019-10-25 10:19:26,2019-10-25 12:17:26,"active"
"312","KPN","YO","0008",2019-10-25 12:22:26,2019-10-25 13:12:26,"active"
"313","KPN","YO","0008",2019-10-25 13:24:26,2019-10-25 14:03:26,"active"
"314","KPN","YO","0008",2019-10-25 14:22:26,2019-10-25 15:27:26,"active"
"315","KPN","YO","0008",2019-10-25 15:34:26,2019-10-25 17:15:26,"active"
"316","KPN","YO","0008",2020-01-17 13:14:46,2020-01-17 13:54:46,"active"
